000108,000000,Struct,recno:Integer,Seg_ID:Integer,FromArea:String,ToArea:String,AM_P_to_A_Fact:Float,AM1_P_to_A_Fact:Float,MD_P_to_A_Fact:Float,PM_P_to_A_Fact:Float,AM_A_to_P_Fact:Float,AM1_A_to_P_Fact:Float,MD_A_to_P_Fact:Float,PM_A_to_P_Fact:Float
90,36,Default,Default,0.0122,0.0122,0.4678,0.02,0.0122,0.0122,0.4678,0.02
91,25,Default,Default,0.049,0.0278,0.3286,0.0889,0.0227,0.01,0.4104,0.1003
92,14,Default,Default,0.5189,0.3219,0.0157,0.0004,0.0,0.0,0.4449,0.0201
93,3,Default,Default,0.1561,0.0523,0.3504,0.0151,0.0116,0.0049,0.3239,0.1428
94,53,Default,Default,0.02,0.01,0.44,0.04,0.02,0.01,0.44,0.04
95,42,Default,Default,0.01,0.005,0.44,0.05,0.02,0.01,0.4,0.08
96,31,Default,Default,0.2067,0.1403,0.2608,0.0594,0.0696,0.0513,0.3071,0.0963
97,20,Default,Default,0.2171,0.1788,0.2623,0.0432,0.002,0.002,0.3546,0.1208
98,9,Default,Default,0.4978,0.4243,0.0399,0.0024,0.0007,0.0005,0.3932,0.0661
99,48,Default,Default,0.067,0.0335,0.41,0.023,0.01,0.005,0.399,0.091
100,37,Default,Default,0.0146,0.0146,0.4061,0.0314,0.0483,0.0483,0.4662,0.0335
101,26,Default,Default,0.049,0.0278,0.3286,0.0889,0.0227,0.01,0.4104,0.1003
102,15,Default,Default,0.5189,0.3219,0.0157,0.0004,0.0,0.0,0.4449,0.0201
103,4,Default,Default,0.1561,0.0523,0.3504,0.0151,0.0116,0.0049,0.3239,0.1428
104,54,Default,Default,0.01,0.005,0.44,0.05,0.01,0.005,0.44,0.05
105,43,Default,Default,0.01,0.005,0.44,0.05,0.04,0.02,0.45,0.01
106,32,Default,Default,0.2067,0.1403,0.2608,0.0594,0.0696,0.0513,0.3071,0.0963
107,21,Default,Default,0.0625,0.0432,0.3419,0.0519,0.0178,0.0114,0.4132,0.1126
108,10,Default,Default,0.4978,0.4243,0.0399,0.0024,0.0007,0.0005,0.3932,0.0661
